case_number,category_1,category_2,category_3,granular_cluster_id,parent_cluster_id
9983907,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,1,1
9983942,"Training Programmes, Training Systems and Advisory Services",Workplace Literacy & Numeracy (WPLN),"Guidelines, Processes and Timeline",5,1
9983947,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Purpose and Objective - Absentee Payroll (AP),5,1
9983950,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,2,1
9983968,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,4,1
9983971,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9983983,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9984021,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,10,1
9984023,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,7,1
9984058,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",5,1
9984071,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Attendance,2,1
9984091,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,9,1
9984094,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Non-SSG Enquiries,3,1
9984104,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,13,1
9984115,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9984148,Lifelong Learning Institute (LLI),Lifelong Learning Institute (LLI) - Campus Services,Facilities booking / Enquiries,13,1
9984222,WSG Programmes and Initiatives,Workfare Skills Support,Training Commitment Award Claim Status,9,1
9984252,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",9,1
9984288,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9984293,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,1,1
9984323,Employment Assistance and Career Services,Career Matching Provider,Book a new appointment,13,1
9984391,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Enrolment,6,1
9984398,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9984418,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Appeal for Late Claim,11,1
9984458,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,"Guidelines, Processes and Timeline - Attendance",4,1
9984485,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Non-WSQ Assessment,6,1
9984502,"Grants, Awards and Funding Programmes or Systems",Course Funding Framework,"Guidelines, Processes and Timeline",10,1
9984534,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,13,1
9984563,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Postings,5,1
9984565,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",4,1
9984581,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,6,1
9984593,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",5,1
9984632,WSG Programmes and Initiatives,MyCareersFuture,Processes - MyCareersFuture features (Employers),5,1
9984644,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,10,1
9984727,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,"Guidelines, Processes and Timeline - Course Runs and Sessions",10,1
9984769,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Requests - Claim status,10,1
9984800,"Training Programmes, Training Systems and Advisory Services",WSQ Electronic Certificates (e-Certs),"Guidelines, Processes and Timeline",9,1
9984826,Employment Assistance and Career Services,Career Advisory and Coaching,Book New Appointment (WCC),6,1
10006871,Employment Assistance and Career Services,Career Advisory and Coaching,Appointment - Booking/Reschedule/Cancellation,6,1
9984831,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for SME Funding,1,1
9984860,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",10,1
9984890,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,13,1
9984900,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,1,1
9984971,WSG Programmes and Initiatives,Career Conversion Programme,General Programme Information,9,1
9984980,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Eligibility Criteria - Grant,5,1
9984995,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,1,1
9985044,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,12,1
9985048,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,1,1
9985093,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Profile and Account",1,1
9985106,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Applications,4,1
9985121,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,8,1
9985147,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9985149,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,4,1
9985175,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Technical Support,5,1
9985193,Regulations,Skills Development Levy (SDL),Payment,13,1
9985283,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,9,1
9985285,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Postings,10,1
9985303,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Technical Support,13,1
9985314,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9985352,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Requests - Claim status,13,1
9985359,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9985369,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Attendance,3,1
9985404,Regulations,Skills Development Levy (SDL),Refund,9,1
9985424,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",4,1
9985438,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,11,1
9985513,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,3,1
9985533,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,13,1
9985541,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9985669,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,13,1
9985706,Regulations,Skills Development Levy (SDL),Payment,10,1
9985714,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Technical Support,11,1
9985720,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,12,1
9985726,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,12,1
9985749,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",4,1
9985756,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,3,1
9985760,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,1,1
9985773,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Non-WSG Enquiries,1,1
9985790,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for SME Funding,3,1
9985813,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9985875,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9985878,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9985913,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9987139,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9985922,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9985971,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9985978,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Workfare Income Supplement,12,1
9985992,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9986002,"Training Programmes, Training Systems and Advisory Services",WSQ Electronic Certificates (e-Certs),Admin Matters (e-cert design),4,1
9986009,Employment Assistance and Career Services,Career Advisory and Coaching,Career Services (LLI),4,1
9986022,"Training Programmes, Training Systems and Advisory Services",WSQ Electronic Certificates (e-Certs),Technical Support,13,1
9986030,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9986059,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",10,1
9986067,Employment Assistance and Career Services,Career Advisory and Coaching,Book New Appointment (LLI),4,1
9986080,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9986093,Employment Assistance and Career Services,Career Advisory and Coaching,Book New Appointment (LLI),13,1
9986104,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9986137,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,1,1
9986181,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,6,1
9986189,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Eligibility Criteria - Course Eligibility,6,1
9986210,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Profile and Account",1,1
9986214,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",3,1
9986240,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,3,1
9986243,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,6,1
9986256,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9986260,"Grants, Awards and Funding Programmes or Systems",Funding Policies,Funding Policies,10,1
9986271,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9986281,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,7,1
9986290,"Training Programmes, Training Systems and Advisory Services",Training Quality And Outcomes Measurement (TRAQOM) Initiative,Technical Support - System related enquiries,5,1
9986294,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,6,1
9986327,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9986336,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,5,1
9986417,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,4,1
9986418,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Applications,2,1
9986428,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9986442,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Requests - Edit or Cancellation,12,1
9986450,WSG Programmes and Initiatives,MyCareersFuture,Technical Support - Login,12,1
9986455,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",1,1
9986494,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9986536,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Non-SSG Enquiries,12,1
9986548,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9986549,WSG Programmes and Initiatives,Career Trial,Processes - Application for Host Organisations,1,1
9986572,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,1,1
9986577,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",12,1
9986580,Regulations,Skills Development Levy (SDL),Payment,13,1
9986637,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,1,1
9986641,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,6,1
9986667,"Training Programmes, Training Systems and Advisory Services",WSQ Electronic Certificates (e-Certs),Requests - Manual Qualification/Transcript status,1,1
9986671,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9986679,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9986683,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9986687,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9986698,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,"Guidelines, Processes and Timeline - Claim for SkillsFuture Credit (SFC)",9,1
9986709,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9986718,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,9,1
9986744,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9986777,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,6,1
9986804,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9986821,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9986830,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9986823,Regulations,Skills Development Levy (SDL),Refund,10,1
9986828,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9986854,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9986865,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,1,1
9986879,"Training Programmes, Training Systems and Advisory Services",Training Quality And Outcomes Measurement (TRAQOM) Initiative,Technical Support - System related enquiries,6,1
9986900,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9986904,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,13,1
9987006,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,11,1
9987018,Regulations,Skills Development Levy (SDL),"Guidelines, Processes and Timeline",5,1
9987026,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9987035,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Appeal for Late Claim,10,1
9987165,WSG Programmes and Initiatives,Career Trial,Processes - Application for Host Organisations,6,1
9987192,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,9,1
9987201,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,6,1
9987205,WSG Programmes and Initiatives,MyCareersFuture,Processes - MyCareersFuture features (Individuals),13,1
9987237,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9987264,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9987319,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9987326,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,3,1
9987327,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9987335,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Purpose and Objective - Absentee Payroll (AP),4,1
9987339,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9987345,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,1,1
9987351,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Eligibility Criteria,2,1
9987407,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,7,1
9987423,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,"Guidelines, Processes and Timeline - Attendance",11,1
9987478,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,12,1
9987495,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9987503,WSG Programmes and Initiatives,Career Conversion Programme,General Programme Information,4,1
9987554,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Requests - Claim status,6,1
9987571,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9987582,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",13,1
9987592,WSG Programmes and Initiatives,Workfare Skills Support,Processes - Training Allowance,6,1
9987600,Employment Assistance and Career Services,Career Advisory and Coaching,Book New Appointment (LLI),12,1
10007410,Employment Assistance and Career Services,Career Advisory and Coaching,Appointment - New,12,1
9987656,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Profile and Account",8,1
9987671,WSG Programmes and Initiatives,Workfare Skills Support,Training Commitment Award Claim Status,9,1
9987674,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9987676,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9987684,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9987702,Regulations,Skills Development Levy (SDL),General Enquiries,6,1
9987704,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9987710,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9987714,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9987718,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Technical Support,Technical Support,9,1
9987727,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,7,1
9987752,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,2,1
9987753,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Others,5,1
9987759,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9987766,Regulations,Skills Development Levy (SDL),Payment,2,1
9987777,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9987781,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,10,1
9987783,"Training Programmes, Training Systems and Advisory Services",WSQ Electronic Certificates (e-Certs),"Guidelines, Processes and Timeline",2,1
9987824,Employment Assistance and Career Services,Career Advisory and Coaching,Appointment,1,1
9987836,Regulations,Skills Development Levy (SDL),Payment,13,1
9987837,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9987858,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9987875,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,4,1
9987879,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,13,1
9987894,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,5,1
9987902,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,3,1
9987932,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Requests - Edit or Cancellation,5,1
9987954,"Grants, Awards and Funding Programmes or Systems",TPGateway - MAS-IBF,"Guidelines, Processes and Timeline - Enrolment",3,1
9987961,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9987963,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,4,1
9988005,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9988018,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Requests - Claim status,13,1
9988021,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9988026,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,7,1
9988035,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9988036,Employment Assistance and Career Services,Career Advisory and Coaching,Appointment,1,1
9988037,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,8,1
9988077,WSG Programmes and Initiatives,Career Conversion Programme,General Programme Information,4,1
9988103,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Enterprise Credit (SFEC),Eligibility Criteria - Basic eligibility Checks,9,1
9988116,"Grants, Awards and Funding Programmes or Systems",Course Fee Funding Support,Purpose and Objective - WSQ,1,1
9988121,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9988122,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Eligibility Criteria,8,1
9988153,WSG Programmes and Initiatives,Career Conversion Programme,General Programme Information,5,1
9988184,Employment Assistance and Career Services,Career Advisory and Coaching,Career Services (LLI),2,1
9988188,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,9,1
9988190,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9988243,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,"Guidelines, Processes and Timeline - Grant",5,1
9988255,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,1,1
9988267,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,2,1
9994193,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,2,1
9995245,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,2,1
9995914,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,2,1
10009515,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,2,1
9988275,WSG Programmes and Initiatives,Workfare Skills Support,Processes - Training Allowance,4,1
9988291,"Grants, Awards and Funding Programmes or Systems",Course Fee Funding Support,Purpose and Objective - WSQ,5,1
9988301,"Training Programmes, Training Systems and Advisory Services",Training Quality And Outcomes Measurement (TRAQOM) Initiative,Purpose and Objective,6,1
9988333,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9988342,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,7,1
9988376,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9988386,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9988416,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,5,1
