subject,case_number
Attendance details for Food Safety Course Level 1,9984391
Attendance details,9984391
Customer,9984398
Contributions,9984398
Reason for resubmission,9984418
Incorrect amount,9984418
Customer,9984418
Customer,9984458
Learner,9984485
Request,9984485
Course fee subsidy,9984502
Customer,9984502
Customer enquiry,9984534
Customer,9984534
Customer,9984563
Masters program,9984565
Customer,9984565
Customer,9984581
Error message,9984593
Customer,9984593
User,9984632
Secondary account,9984632
Participants,9984644
Request,9984644
Reason for advice,9984727
Training provider,9984727
Customer,9984769
Customer,9984800
Customer,9984826
Customer,10006871
Funding eligibility,9984831
Customer,9984831
Declaration approval,9984831
Error message,9984860
Customer,9984860
Customer,9984890
Customer,9984900
Customer,9984971
Customer,9984980
SingPass e-attendance issue,9984995
Appeal,9984995
Details,9984995
Customer,9985044
Issue,9985048
Page,9985048
Singapore Permanent Resident,9985093
Customer,9985106
Job application,9985106
Funds allocation,9985121
Funds,9985121
Recipient,9985121
Customer,9985147
Trainee's attendance issue,9985149
Trainee's attendance,9985149
Appeal,9985149
Submission issue,9985175
Customer,9985175
Trainees,9985175
Anticimex Pte Ltd,9985193
Subsidiary of Anticimex Pte Ltd,9985193
Proof of payment,9985193
Employment details,9985283
User,9985283
Access,9985285
Business account holder,9985285
Customer,9985303
Employer,9985314
Error message,9985352
Issue,9985352
Customer,9985352
Request for extension,9985359
Customer,9985359
Duplicate e-attendance record,9985369
Customer,9985369
Customer,9985404
Customer,9985424
Customer,9985438
Error,9985438
Issue,9985513
Enrollees,9985513
New foreign workers,9985533
Issue,9985533
Customer,9985533
Customer,9985541
Skills Development Levy,9985541
Customer,9985669
Training Allowance,9985669
Skills Development Levy shortpayment,9985706
Request,9985706
Work passes,9985706
Calculation,9985706
Customer,9985714
Courses,9985720
Customer,9985720
Customer,9985726
Workplace Skills Qualification,9985726
Reason for inability to submit claim,9985749
SkillsFuture Credit claim,9985749
Customer,9985749
Customer,9985756
Customer,9985760
Hard phone contact details,9985773
Customer's call,9985773
Employer,9985790
Overpayment reason,9985813
Customer,9985813
Refund period,9985813
Discrepancies,9985875
Customer,9985875
Customer,9985878
Customer,9985913
Customer,9987139
Contribution,9985922
Customer,9985922
Entity,9985971
Customer,9985971
Customer,9985978
Skills Development Levy,9985992
Customer,9985992
Customer,9986002
Duplicate certificates,9986002
Customer,9986009
Scheduled phone appointment,9986009
Customer,9986022
Customer,9986030
Link,9986059
Customer,9986059
Customer,9986067
Inquiry,9986080
Customer,9986080
Letter,9986080
Customer,9986093
Monthly payments,9986104
Customer,9986104
Huawei phone,9986137
Candidate,9986137
Customer,9986181
Customer,9986189
Customer,9986210
Submit button,9986214
Customer,9986214
Course,9986214
Customer,9986240
Customer,9986243
Customer,9986256
Differences in funding,9986260
Employer,9986260
Customer,9986271
Corppass,9986281
Customer,9986281
Customer,9986290
Feedback survey,9986290
Customer,9986294
Funds from SkillsFuture Singapore,9986294
Employer,9986327
Customer,9986336
Pending payment notification,9986417
Customer,9986417
Customer,9986418
Applicants,9986418
Job,9986418
Customer,9986428
Training provider,9986442
Customer,9986442
Customer,9986450
Blank page,9986450
Employer portal,9986450
Customer,9986455
Monthly payments,9986494
Customer,9986494
Training provider,9986536
Customer,9986536
Customer,9986548
Job posting,9986549
Customer,9986549
Error,9986572
Training grant eligibility,9986572
Trainees,9986572
Result,9986577
Customer,9986577
Customer,9986580
Assessment issues,9986637
Customer,9986641
Customer,9986667
Employer,9986671
Customer,9986679
Customer,9986683
Customer,9986687
Customer,9986698
Customer,9986709
Details of the grant,9986718
Payout from Skillsfuture,9986718
Her company,9986744
Payments,9986744
Mandarin customer,9986744
Customer,9986777
Previous case,9986777
Customer,9986804
Company,9986804
Payment,9986821
Payment,9986830
Employer,9986821
Employer,9986830
Customer,9986823
Customer,9986828
Customer,9986854
Linking action,9986865
Customer,9986865
Course run,9986879
Customer,9986879
Company,9986900
Customer,9986904
Workfare Training Allowance,9987006
Customer,9987006
Customer,9987018
Customer,9987026
Skills Development Levy Notices,9987026
Customer,9987035
Customer,9987165
Non-attendance,9987192
Customer,9987192
Letter,9987201
Customer,9987201
Retiree,9987205
Payment requirement,9987237
Customer,9987237
Statement,9987264
Employer,9987264
FLIP TECHNOLOGY PTE.LTD,9987319
Customer,9987326
Authorization,9987327
Request,9987327
Customer,9987335
Breakdown,9987339
Company,9987339
Error,9987345
Participant,9987345
Customer,9987351
Customer,9987407
Trainees,9987423
QR code,9987423
Four trainees,9987478
Reason,9987478
Camera phones,9987478
Customer,9987495
Customer,9987503
Customer,9987554
Calculations,9987571
Payments,9987571
Skills Development Levy discrepancies,9987571
Customer,9987571
Customer,9987582
Inquiry,9987592
Customer,9987592
Customer,9987600
Customer,10007410
Career Advisory appointment,9987600
Career Advisory appointment,10007410
Customer,9987656
Canceling a claim,9987656
Training Commitment Award,9987671
Inquiry,9987671
Customer,9987671
Customer,9987674
Appeal process,9987676
Customer,9987676
Overall in charge update,9987676
Customer,9987684
Customer,9987702
Website,9987702
Outstanding amounts,9987704
Reconciliation issue,9987704
Customer,9987704
Customer,9987710
Employer,9987714
Trainee,9987718
Customer,9987718
Search for courses,9987727
Customer,9987727
Customer,9987752
Staff,9987752
Financial consultant,9987753
Inquiry,9987753
Customer,9987759
Employee,9987766
Employer,9987766
Salary,9987766
Customer,9987777
Learner,9987781
Customer,9987781
Customer,9987783
Food and hygiene certificate,9987783
Customer,9987824
Application,9987824
Customer,9987836
Payment,9987837
Customer,9987837
Customer,9987858
Outstanding amount,9987858
Customer,9987875
Inquiry,9987879
Skillsconnect Grants,9987879
Customer Service Officer,9987894
Customer under work permit,9987902
Customer,9987932
Reason for re-enrolment,9987954
Customer,9987954
Re-enrolment coordination,9987954
Employer,9987961
Request,9987961
Payment receiver,9987963
Customer,9988005
Rachel,9988018
Employer,9988021
Offset,9988026
Outstanding Skills Development Levy,9988026
Customer,9988026
Lump sum payment,9988026
Outstanding Skills Development Levy,9988035
Overpayments,9988035
Customer,9988035
Customer,9988036
Customer,9988037
Assistance,9988077
Recruit SG,9988077
Customer,9988077
Customer,9988103
Customer,9988116
Customer,9988121
Customer,9988122
Appeal,9988153
Career Conversion Programmes,9988153
Customer,9988153
Customer,9988184
Appointment confirmation,9988184
System error,9988188
Customer,9988188
Employer,9988190
Employee,9988243
Customer,9988243
Customer,9988255
Appeal,9988267
Appeal,9994193
Appeal,9995245
Appeal,9995914
Appeal,10009515
Customer,9988267
Customer,9994193
Customer,9995245
Customer,9995914
Customer,10009515
Customer,9988275
Training Provider,9988291
Customer's company,9988291
Customer,9988301
Traqom Survey,9988301
Employer,9988333
MySkillsFuture course directory,9988342
Customer,9988342
Profile editing,9988342
Staff,9988376
Customer,9988376
Central Provident Fund calculations,9988386
Customer,9988386
Inquiry,9988416
Customer,9988416
Customer,9988502
Customer,9988508
Signed confirmation form,9988512
Signed confirmation form,9999238
Samsung Electronics Singapore,9988512
Samsung Electronics Singapore,9999238
signed confirmation form,9988512
signed confirmation form,9999238
Customer,9988538
SkillsFuture Credit claim,9988580
Customer,9988580
Mandarin-speaking customer,9988681
CCOTG event,9988681
Customer,9988685
Employer,9988685
Customer,9988703
Company,9988703
Platform,9988741
Customer,9988741
Missing grant payment,9988746
Enquirer,9988746
Foreign customer,9988761
Customer,9988763
Rejected payroll grant claims,9988765
Customer,9988765
Issue,9988776
Customer,9988776
Customer,9988785
Customer,9988795
Email,9988795
Customer,9988800
SkillsFuture Enterprise Credit,9988800
Customer,9988804
Customer,9988822
Incorrect syncing,9988841
Customer,9988841
Technical error,9988841
Customer,9988852
Customer status,9988852
Customer,9988863
Training Allowance amount,9988882
Training Allowance,9988882
Customer,9988882
Customer,9988893
Customer,9988952
Customer,9989005
Walk-in availability,9989034
Customer,9989034
Employer,9989041
Payments,9989043
Customer,9989043
Customer,9989113
Late payment,9989113
Customer,9989127
Payment,9989127
Customer,9989153
Customer,9989155
Customer,9989156
Customer,9989164
Training Commitment Award and Training Allowance,9989167
Training Commitment Award and Training Allowance,9990278
Customer,9989167
Customer,9990278
Inquiry,9989167
Inquiry,9990278
Employer,9989199
Attendance,9989204
Attendance upload,9989204
Requester,9989204
Customer,9989207
Customer,9989239
Trainee,9989243
Training Provider Gateway,9989243
Request,9989243
Customer,9989245
Multiple appeals,9989258
Grant application,9989258
Request,9989258
Customer,9989271
Customer,9989290
Company,9989295
Recipient,9989320
Customer,9989321
Customer,9989331
Inquiry,9989331
Customer,9989366
Employer,9989371
Customer,9989391
Customer,9989398
Customer,9989439
East Advisory Pte. Ltd.,9989470
Payments,9989504
Customer,9989504
Customer with Independent Pass,9989513
Customer,9989551
Customer,9989562
Customer,9989584
TT payment,9989599
Sanko Semiconductor Asia Pte Ltd,9989599
Customer,9989606
Customer,10001628
Customer,9989620
Blocklisted individual,9989620
Customer,9989646
Customer,9989654
Customer,9989667
Each session,9989667
Customer,9989681
Customer,9989687
Customer,9989716
Customer,9989738
Customer,9989759
Customer,9989784
Customer,9989787
Customer,9989794
Skills Development Levy Notice of Assessment,9989794
Customer,9989796
Customer,9989817
Payment,9989817
Customer,9989820
Customer,9989825
Customer,9989831
Payment,9989852
Customer,9989852
Customer,9989861
Customer,9989879
Company,9989879
Customer,9989890
Course,9989890
Customer,9989899
Customer,10012669
Customer,9989902
Customer,9989952
Information,9990001
Customer,9990001
Information source,9990001
Training provider,9990006
Customer,9990006
Absentee Payroll grants,9990013
Customer,9990013
Inquiry,9990013
Absentee payroll grant,9990045
Rejection,9990045
Requester,9990045
Discrepancy,9990057
Customer,9990057
Customer's Absentee Payroll grant,9990057
Customer,9990077
Payments,9990078
Customer,9990078
Bank statements,9990078
Customer,9990079
Individual,9990090
Rejection of Absentee Payroll funding,9990091
Rejection of Absentee Payroll funding,9990276
Rejection of Absentee Payroll funding,9991377
Rejection of Absentee Payroll funding,9992714
Rejection of Absentee Payroll funding,9992806
Rejection of Absentee Payroll funding,9993276
Rejection of Absentee Payroll funding,9993561
Rejection of Absentee Payroll funding,9994856
Rejection of Absentee Payroll funding,10003524
Customer,9990091
Customer,9990276
Customer,9991377
Customer,9992714
Customer,9992806
Customer,9993276
Customer,9993561
Customer,9994856
Customer,10003524
Employer,9990108
Customer,9990118
Customer,9990125
Clearance of Skills Development Levy,9990177
Clearance of Skills Development Levy,9990180
Request,9990177
Request,9990180
Staff transfer,9990178
Customer,9990178
Repeat funding,9990247
Customer,9990247
Enrollment,9990247
Rejection of Absentee Payroll funding,9990248
Customer,9990248
SkillsFuture Credits claims,9990250
Customer,9990250
Customer,9990253
Employer,9990281
"""Add Assessment"" button",9990288
Customer,9990288
Customer,9990289
Customer,9990304
Inquiry,9990321
Customer,9990321
Submissions,9990327
Student's e-attendance,9990327
Customer Service Officer,9990332
Customer,9990332
Calls,9990332
Customer,9990410
In-house Training Provider,9990410
Customer,9990416
Assistant Registrar,9990447
Diploma in Pre-school Education – Teaching,9990447
Customer,9990451
Customer,9990470
Training,9990491
Customer,9990491
Attached file,9990504
Skills Development Levy Outreach Phase 1B payment,9990504
LCT - IND Workforce Singapore case,9990505
Customer,9990506
Sync issues,9990518
SP,9990518
Customer's client,9990557
Officer,9990557
Customer,9990584
Customer,9990602
Customer,9990619
Payment,9990619
Customer,9990625
Trainee,9990634
Ineligible grant,9990634
KLC International Institute,9990634
Customer,9990654
Absentee Payroll funding eligibility,9990654
Customer,9990679
Notice of Assessment,9990679
Customer,9990685
Customer,9990698
Absentee Payroll grant,9990705
Customer,9990705
Email,9990705
Customer,9990730
Email content,9990730
Clarification sought,9990735
Customer,9990735
Customer,9990789
Customer,9990794
Corppass account,9990794
Employer,9990818
Customer,9990823
Employer,9990828
Customer,9990831
Customer,9990835
Customer,9990854
Grant rejection,9990854
Customer,9990861
Absentee Payroll,9990861
Inquiry,9990878
Customer,9990878
Customer,9990896
Customer,9990899
Customer,9990908
Notice of Objection,9990908
Customer,9990913
Customer,9992548
Customer,9992769
Customer,9990928
Training provider,9990932
Customer,9990932
Rejection of Absentee Payroll grants,9990944
Customer,9990944
Customer,9990969
Inquiry,9990969
Payments,9991002
Customer,9991002
Current policy,9991004
Customer,9991004
User,9991016
Applications,9991017
Customer,9991017
Absentee Payroll Declaration,9991036
Customer,9991036
Customer,9991046
Error,9991046
Customer,9991058
Trainee,9991083
Trainee's scanned attendance,9991083
Customer,9991091
Customer,9991108
Customer,9991154
Customer,9991155
Customer inquiry,9991175
Customer,9991175
Request,9991182
Mandarin-speaking SkillsFuture Singapore EMP,9991182
Absentee Payroll grants,9991190
Customer,9991190
Customer,9991199
Customer,9991209
Customer's call,9991215
EMILY,9991232
Customer,9991235
LCT SkillsFuture Singapore EMP case,9991239
Understanding purpose,9991253
Human Capability Development Program from Saudi Arabia,9991253
Human Capability Development Program,9991253
Requester,9991261
Customer,9991265
Absentee Payroll claims,9991265
Caller,9991269
Funding,9991277
Specific course,9991277
Customer,9991277
Appeal,9991307
Mr. <PERSON>,9991307
Customer,9991331
Customer,9991345
Customer,9991359
Inquiry,9991359
Self-sponsored registration,9991387
Registrant,9991387
Customer,9991390
Absentee payroll grants,9991403
Customer,9991403
SkillsFuture Credit support,9991411
Customer,9991411
Course,9991411
Customer,9991412
All employees,9991420
All employees,9993486
All employees,9995724
All employees,9995873
All employees,9996066
All employees,9996275
All employees,9996459
All employees,9997318
All employees,10009453
All employees,10013926
All employees,10015265
Customer,9991420
Customer,9993486
Customer,9995724
Customer,9995873
Customer,9996066
Customer,9996275
Customer,9996459
Customer,9997318
Customer,10009453
Customer,10013926
Customer,10015265
e-Certificate details,9991428
Customer,9991428
Notice of Objection,9991441
Customer,9991441
Customer,9991449
Application,9991462
Customer,9991462
Customer,9991466
Customer,9991471
Career Conversion Programme,9991471
Absentee Payroll grant,9991476
Employer,9991476
SkillsFuture Singapore,9991502
Customer,9991502
Customer,9991504
Discrepancy,9991504
Training Provider,9991542
Monthly automatic payments,9991560
Customer,9991560
Skills Development Levy Notice of Assessment,9991560
Customer,9991573
System,9991573
Customer,9991577
Customer's company,9991583
Customer,9991587
Specific course run,9991587
Customer,9991595
Customer,10019293
Customer,9991600
Company's PayNow,9991600
Customer,9991601
Customer,9999851
Customer,10014089
Customer,10018388
Customer inquiry,9991606
Customer,9991606
Attendance record,9991607
Company,9991607
Customer,9991618
Excel sheet,9991618
Customer,9991623
Customer,9991629
Staff,9991629
Customer,9991630
Customer,9992506
Absentee Payroll funding claim,9991630
Absentee Payroll funding claim,9992506
Customer,9991639
Payment,9991639
Customer,9991647
Customer,9991663
Survey reception,9991671
Customer,9991671
Customer,9991672
Payment mode,9991672
Customer,9991675
Grant rejection,9991694
Customer,9991694
SkillFuture Enterprise Portal,9991696
Issues,9991696
Customer,9991716
Staff member,9991719
Customer,9991719
Child First Aid Course,9991719
Customer,9991742
Workforce Singapore,9991752
Request,9991752
Training allowances,9991752
Requester,9991752
Customer,9991753
Customer,10010202
Job posting,9991753
Job posting,10010202
Customer,9991772
Customer,9991779
Payments,9991779
Company,9991785
Customer,9991792
Career Conversion Programmes,9991793
Customer,9991793
New SkillsFuture Credits claim,9991807
Customer,9991807
Customer,9991850
Customer,9991858
Unemployed customer,9991877
Customer,9991883
Customer,9991886
E-attendance failure,9991892
Manual attendance,9991892
Request,9991892
Customer,9991898
Customer's resume,9991908
Customer,9991908
Customer,9991910
Payment method,9991940
Employer,9991940
Discrepancies,9991943
System,9991943
Issues,9991943
Customer,9991951
Reason for not attending,9991951
Individual,9991962
Customer,9991971
Customer,9991977
Payment,9991978
Customer,9991978
Requester,9991997
Absentee Payroll eligibility,9992006
Urgent appeal,9992006
Assistance,9992006
Customer,9992051
Customer,9992055
Training Allowance disbursement,9992055
Grant rejection notifications,9992076
Requester,9992076
Multiple centers,9992076
UEN,9992078
Customer,9992078
Notice of Assessment,9992078
Inquiry,9992094
Customer,9992094
Customer,9992095
Overpayment,9992095
Absentee Payroll grant,9992096
Customer,9992096
Customer,9992101
Payment reason,9992101
Customer,9992116
Excessive notification emails,9992145
Customer from Dyson Operations,9992145
Customer,9992145
Customer,9992162
Foreign employee,9992163
Skills Development Levy,9992163
Employer,9992163
Customer,9992184
Case,9992187
Ron,9992187
Customer,9992193
Tokyo Tatemono Asia Pte.Ltd,9992203
Customer,9992238
Customer,9992249
Customer,9992251
Previous claim,9992251
Trainee,9992259
Trainee account,9992259
Customer,9992273
Foreign trainees,9992278
Customer,9992278
Customer,9992297
Customer,9992299
Customer,9994717
Email,9992299
Email,9994717
Customer,9992312
Customer,9992320
Customer,9992337
Customer,9992341
Absentee Payroll Payment status,9992341
Declaration,9992341
Course,9992365
HR representative from EASTPORT MARITIME PTE LTD,9992365
Customer,9992366
Policy,9992369
Requester,9992369
Mr. Lim Kwang Ling,9992372
Survey,9992376
Customer,9992376
Customer,9992386
Customer,9992392
Higher special needs programs,9992392
Customer,9992412
Claim,9992412
Customer,9992416
Monthly disbursements,9992416
Customer,9992429
Customer,9992454
GAC (Singapore) Pte Ltd,9992489
Customer,9992494
Removal reason,9992500
Details,9992500
Assistance,9992500
Customer,9992516
Customer,9993202
Customer,9992518
Email content,9992518
Customer,9992521
Course,9992521
Course applications,9992527
Customer,9992527
Rejection notices,9992533
Recipient,9992533
AtSunrice GlobalChef Academy,9992538
Workplace Skills Qualification Courses,9992543
Singpass e-attendance,9992543
Inquirer,9992543
Customer,9992549
Email invitation,9992551
Jobseeker,9992551
Career Ignite appointment,9992553
Customer,9992553
Notification email,9992584
Customer,9992584
Specific course,9992591
Customer,9992591
Absentee Payroll grants,9992591
Customer inquiry,9992594
Customer,9992594
Inquiry,9992595
Customer,9992595
Customer,9992605
Absentee Payroll grant,9992605
Customer,9992628
Customer,9992638
Application deadline expiration,9992643
Application deadline,9992643
Assessment results,9992650
Request,9992650
Customer,9992671
System,9992671
Absentee Payroll funding reduction,9992681
Customer,9992681
Certificate,9992715
Sound Engineering course,9992715
Customer,9992715
Absentee payroll grants,9992717
Customer,9992717
Customer,9992726
Career Centre,9992730
Customer,9992730
Phone coaching appointment,9992730
Customer,9992750
Payment,9992750
Customer,9992753
Training Commitment Award and Training Allowance,9992754
Customer,9992754
Outstanding payment,9992759
Employer,9992759
Individual,9992779
Requester,9992779
Person,9992786
Error,9992795
Former colleague's details,9992795
Customer,9992795
Proof,9992809
Company,9992809
Customer,9992809
Delay,9992839
Rejection notification,9992839
Customer,9992839
Appeal,9992866
Customer,9992877
Customer,9992881
Customer,9992908
Customer,9992887
Small-Medium Enterprise declaration,9992892
Customer,9992892
Employees,9992911
Request,9992911
Customer,9992919
Employer,9992919
Customer,9992935
Customer,9992959
Customer,9992962
Customer,9992964
Customer,9992968
Inability to claim SkillsFuture Credit,9992973
Training Provider,9992973
Customer,9992973
Customer,9992977
Customer,9992980
Customer,9992982
Customer,9992986
Customer,9992999
Customer,9993028
Appeal,9993028
Absentee Payroll funding,9993028
Payment,9993038
Reminder notice,9993038
Customer,9993038
Claimed amount,9993055
NTT Singapore Pte Ltd,9993055
800 Super Waste Management Pte Ltd,9993057
Customer,9993069
Course,9993069
Old sole proprietorship,9993085
Outstanding Skills Development Levy notice,9993085
New company,9993085
Sterling Law Corporation,9993088
Payment,9993088
Transaction receipts,9993090
Customer,9993090
Customer,9993097
Course,9993102
Customer,9993102
Current status,9993102
Customer,9993126
Absentee payroll grants,9993126
Precision Engineering: Career Conversion Programme,9993127
Customer,9993127
Draft course application,9993133
Error,9993133
Customer,9993133
Customer,9993134
Customer,9993156
Payment,9993156
Customer,9993163
Customer,9993167
Client,9993172
Levy objection,9993172
Customer,9993172
Customer,9993205
Customer,9993212
Course cancellation,9993212
Claim,9993212
Skills Development Levy,9993233
Customer,9993233
Postnatal courses,9993235
Customer,9993235
Communication,9993255
Customer,9993255
Customer,9993265
Payment method,9993277
Customer,9993277
Customer,9993281
Customer,9993287
Customer,9993296
Customer,9993304
Customer,9993309
Payment,9993320
Reminder notice,9993320
Customer,9993320
Customer,9993339
Customer,9993351
e-certificate record,9993364
Incorrect information,9993364
Requester,9993364
Customer,9993394
Customer,9993407
Customer,9993420
Course,9993420
Customer,9993435
Retail Management full qualification title,9993435
Customer,9993437
Customer,9994039
Customer,9995157
Customer,9993438
Customer,9993445
Payments,9993461
Customer,9993461
Customer,9993462
Customer,9993466
Traqom survey reception,9993468
Customer,9993468
Customer,9993477
Customer,9993503
Skills Development Levy,9993503
Use of same reference number,9993531
Customer,9993531
Customer,9993543
Customer,9993546
Appointment purpose,9993553
Customer,9993553
Appointment,9993553
Appeal,9993554
Mr. <PERSON>,9993554
Grant,9993554
Organisation Registration application,9993558
Sample copy,9993558
Customer,9993558
LCT SkillsFuture Singapore EMP case,9993562
Customer,9993568
Customer's enquiry,9993582
Course,9993595
Customer,9993595
Absentee Payroll funding claim,9993595
Customer,9993598
Payment,9993598
Customer,9993599
Customer,9994974
Paid amount,9993599
Paid amount,9994974
Customer,9993612
Customer,9994336
Customer,9993615
Customer,9993617
Absentee Payroll Grant status,9993627
Course,9993627
Customer,9993627
Customer's Absentee Payroll Grant,9993627
Absentee Payroll Funding claim,9993639
Withdrawal option,9993639
Customer,9993639
Claim status,9993639
Customer,9993646
Customer,9993648
Customer,9993650
Customer,9993652
Local employee,9993652
Customer,9993661
Customer,10006412
Customer,10006447
Customer,10009828
Potential website downtime,9993672
Customer,9993672
Customer,9993676
ICO certificate,9993676
Customer,9993681
Payment adjustment,9993695
Appeal,9993695
Real Estate Salesperson (RES) Course,9993696
Assessment fees,9993696
Customer,9993696
Customer,9993704
$100 Training Commitment Award,9993704
Customer,9993705
Customer,9993718
Training provider KLC,9993718
Customer,9993721
Customer,9993730
Payments,9993739
Customer,9993739
Customer Service Officer,9993741
Customer Service Officer,9997322
Customer Service Officer,9999684
Customer Service Officer,10003843
Customer Service Officer,10004708
Customer Service Officer,10016817
Customer,9993741
Customer,9997322
Customer,9999684
Customer,10003843
Customer,10004708
Customer,10016817
Skills Development Levy payment,9993742
Customer,9993742
Training Allowance,9993745
Customer,9993745
Claims,9993745
Payment,9993748
Customer,9993748
Customer,9993756
Suri,9993758
Customer,9993758
Company,9993797
Delays,9993803
Customer,9993803
Course,9993834
Customer,9993834
Customer,9993835
Clarification sought,9993838
Customer,9993838
Company,9993839
Customer,9993842
Customer,9993843
Payment status,9993851
Payment,9993851
Payment confirmation,9993851
Customer,9993853
Customer,9993860
Customer,9993873
Customer,9993878
Customer,9993909
Payment status,9993914
Payment status,9993921
Employer,9993914
Employer,9993921
Training provider,9993923
Customer,9993928
Employee,9993942
Employee from Dunlop Singapore,9993942
Customer,9993945
Bachelor of Science in Applied Computing with a Fintech specialization,9993945
Customer,9993962
Skills Development Levy payment,9993966
Customer,9993966
Customer,9993969
Customer,9993975
Appeal,9993976
Assessment,9993976
Customer,9993983
Customer,9993989
Customer,9995754
Customer,9996659
Customer,9998262
Customer,10001037
Absentee Payroll Grant,9994001
Notification,9994001
Recipient,9994001
Rejection,9994006
Customer,9994006
Customer,9994007
Customer inquiry,9994007
Training provider,9994014
Customer,9994014
Customer,9994021
Customer,9994073
Customer,9994283
Customer,9995114
Customer,9995251
Customer,9997925
Customer,10000689
Customer,10000841
Customer,10000842
Customer,10001078
Customer,10001083
Customer,9994023
Stall owner,9994030
Stall owner without UEN,9994030
Customer,9994040
Customer,9994042
Customer,9994044
Absentee Payroll funding rejection,9994044
Customer,9994048
Rejection,9994053
Customer,9994053
Email notification,9994053
Customer,9994056
Customer,9997468
Customer,9997585
Customer,9999319
Customer,9999599
Customer,9999862
Customer,9999995
Customer,9999999
Customer,9994060
Customer call,9994063
Customer,9994066
SkillsFuture course fee funding,9994067
Customer,9994067
Training provider,9994069
Customer's Absentee Payroll funding appeal,9994069
Email resolution notification,9994071
Customer,9994071
Customer,9994077
Second claim submission,9994077
Appeal reason,9994077
Appeal,9994077
Issue,9994081
QR Code,9994081
<PERSON>,9994086
Overpayment,9994088
Customer,9994088
Payment status,9994095
Payment for Skills Development Levy,9994095
Customer,9994095
Requester,9994097
Former teacher in Singapore,9994097
Letter,9994097
SingPass ID change,9994101
Customer,9994101
Customer,9994111
Payment,9994111
Late enrolment,9994122
Change,9994122
Company,9994122
Inquiry,9994124
Customer,9994124
Call,9994128
Customer,9994128
Callback attempts,9994128
Drop call,9994135
Customer,9994149
Customer,9994162
Absentee Payroll,9994166
Request,9994166
Customer,9994169
Customer request,9994175
Customer,9994175
Last communication,9994175
QR code for e-attendance,9994179
Course run number,9994179
Customer,9994179
Skills Development Levy,9994194
Payment,9994194
Customer,9994194
Customer,9994195
Recipient,9994204
Skills Development Levy,9994206
Payment by boss,9994206
Customer,9994206
Customer,9994207
ACRE RESOURCES,9994207
Appeal,9994220
Grant eligibility,9994220
Error,9994225
Customer,9994225
Attempts to resolve,9994225
Customer,9994227
Xion.Ai Pte Ltd,9994232
Customer,9994242
LCT SkillsFuture Singapore EMP case,9994259
Customer,9994261
Email,9994261
Missing documents,9994264
Customer,9994264
Re-employed staff,9994265
Customer,9994265
Notice of Objection,9994268
Customer,9994268
Customer,9994288
Payment,9994290
Customer,9994290
Rejection email,9994311
Courses,9994311
Customer,9994311
Mandarin-speaking customer,9994314
Customer,9994328
Claim submission,9994328
Training provider,9994334
Customer,9994334
Case,9994334
Customer,9994338
Course,9994338
Person,9994344
LCT SkillsFuture Singapore EMP case,9994344
Customer,9994345
Friend,9994345
Customer,9994347
Customer,9994361
Customer's Absentee Payroll claim,9994361
Customer,9994367
Customer preference,9994367
Overpayment,9994367
E-Attendance QR code scanning issue,9994369
Error message,9994369
Trainee,9994369
Customer,9994376
