subject,predicate,object
Reason for advice,due_to,new e-attendance requirement starting October 2023
Training provider,seeks_advice_on,manually uploading past attendance for missing course run sessions in Tpgateway
Customer,requested_status_check_for,two SkillsFuture Credit claims
Customer,could_not_retrieve,e-Certificate via SkillsPassport
Customer,inquired_about,downloading an e-Certificate for NS men under the Areaspace Workplace Skills Qualification framework
Customer,expresses_dissatisfaction_with,previous support from the Employment and Employability Institute
Customer,requests_appointment_with,Career Coach for employment assistance
Funding eligibility,by_course_provider,ITE
Customer,inquires_about,processing timeline for Small and Medium Enterprises Declaration approval
Declaration approval,required_for,funding eligibility
Error message,about,claim amount exceeding payable amount
Customer,needs_help_with,SkillsFuture Credit claim submission
Error message,related_to,upcoming course
Customer,confirmed_non_receipt_by,checking her bank statement
Customer,did_not_receive,Workfare Skills Support Training Allowance payout
Customer,could_not_confirm,through the portal
Customer,received,a disbursement
Customer,requests,breakdown of details including course and associate name
Customer,inquires_about,Career Conversion Programme for Rail Traffic Controllers
Customer,questions_compatibility_of,5-day work week with requirement for shift work
Customer,considers_claiming_from,SkillsFuture Singapore
Customer,inquires_about,funding eligibility for trainees
SingPass e-attendance issue,caused_by,SingPass downtime on a specific date
Appeal,for,SingPass e-attendance issue
Details,provided_in,an attached xlsx file
Customer,inquired_about,using SkillsFuture Credit for a technical course
Issue,occurs_loading,Check and Claim SkillsFuture Credit page on Google Chrome
Page,remains_stuck_on,Loading...
Singapore Permanent Resident,inquires_about,funding support for a specific course
Singapore Permanent Resident,unable_to_view,SkillsFuture Credit in MySkillsFuture portal
Customer,inquired_about,how to apply for a job
Job application,on,MyCareersFuture portal
Funds allocation,is_unclear_for,Absentee Payroll funding
Funds,received_from,Skillsfuture SG Agency
Recipient,requests_clarification_on,source of the funds
Customer,received,Skills Development Levy 2023 letter
Customer,requests,refund for overpayments
Customer,unaware_of,levy requirement for Foreign Employee
Trainee's attendance issue,impacts,grant-related processes
Trainee's attendance,not_reflected_in,Training Summary for the Occupational First Aid Refresher Course
Appeal,submitted_for,correction of attendance reflection
Submission issue,due_to,missing enrolment and organization registration details
Customer,plans_to_contact,SkillsFuture Singapore with full information
Trainees,unable_to_submit,SkillsFuture Credits claims for a course
Anticimex Pte Ltd,lacks,a bank account
Subsidiary of Anticimex Pte Ltd,pays,Skills Development Levy
Proof of payment,provided_for,necessary action
Employment details,located_in,SkillsPassport webpage on MySkillsFuture account
User,reports_inability_to_change,employment details in the Document section
User,reports_inability_to_update,employment details in the Document section
Access,for,job posting on mycareersfuture platform
Business account holder,inquires_about,granting access to staff for job posting
Customer,plans_to_pay,remaining fees to the course provider
Customer,unable_to_submit,SkillsFuture Singapore claim for a course
Employer,received,letter about outstanding Skills Development Levy for 2022
Employer,seeks_information_on,payment notification process via SkillsFuture Singapore PayNow
Employer,seeks_to_confirm,UEN number legitimacy
Error message,appears_on,MySkillsFuture portal
Issue,persists,after attempting submission via mobile
Customer,unable_to_submit,SkillsFuture Credits claim
Request for extension,due_to,discrepancies in past payments
Customer,needs_time_for,backend check before settling outstanding amount
Customer,requests_extension_to_pay,Skills Development Levy
Duplicate e-attendance record,for,trainee who attended the same course run twice
Customer,inquires_how_to,delete a duplicate e-attendance record
Customer,inquiring_about,status of submitted Skills Development Levy refund request
Customer,inquiring_about,expected receipt date of submitted Skills Development Levy refund request
Customer,inquired_about,SkillsFuture Credits balance
Customer,inquired_about,SkillsFuture Credits expiry
Customer,inquired_about,claim submission process
Customer,inquired_about,upcoming SkillsFuture Singapore Roadshows for courses
Customer,encountered_error_while,claiming SkillsFuture Credits for a part-time diploma course
Customer,found_no_support_via,phone
Error,occurred_on,MySkillsFuture portal
Issue,affects_editing_of,fee collection status for a course run
Enrollees,are_listed_with,names and specific details
Issue,impacts,9 enrolments
New foreign workers,need_to_take,AWSHC course
Issue,related_to,e-attendance for new foreign workers
New foreign workers,require,Singpass details post-MOM appointment
Customer,seeking_advice_on,e-attendance procedures
Customer,inquires_about,paying outstanding Skills Development Levy
Skills Development Levy,pertains_to,foreign employees
Skills Development Levy,unpaid_duration,from January to September 2023
Customer,inquired_about,eligibility for Training Allowance
Training Allowance,under,Workfare Skills Support program
Skills Development Levy shortpayment,calculated_monthly_via,Central Provident Fund
Request,for,breakdown of the Skills Development Levy shortpayment
Work passes,issued_status,no work passes issued
Calculation,requires,correct salary figures
Customer,unable_to,log in to check SkillsFuture Credit balance
Courses,available_on,MySkillsFuture platform
Customer,inquires_about,courses related to defect checking in condos
Customer,inquiring_about_eligibility,security courses for Workplace Skills Qualification
Workplace Skills Qualification,under,Workfare Skills Support program
Reason for inability to submit claim,due_to,lack of course information
SkillsFuture Credit claim,for_course_starting_on,17th October 2023
Customer,plans_to_call_back_after,checking course information
Customer,unable_to_view,in the Enterprise Portal for Jobs and Skills
Customer,urgently_requests_details_for,disbursement received via PayNow from SkillsFuture Singapore
Customer,inquired_about_status_of,funding appeal related to CPF verification failure
Customer,received_no_updates_after,submitting requested documents
Customer,submitted,requested documents
Hard phone contact details,are_noted_for,Customer
Customer's call,dropped_during,contact
Employer,inquires_about,applying for the Enhanced Training Support grant for SMEs
Employer,intends_to_enroll_in_course_through,Enterprise Jobs and Skills Portal
Overpayment reason,due_to,outstanding payable and combined payments in March and May
Customer,seeks,refund for overpaid Skills Development Levy
Refund period,spans,"Jan to Dec, excluding March"
Discrepancies,exist_despite,regular payments for both local and foreign employees
Customer,notes_discrepancies_in,Skills Development Levy computation
Customer,queries_computation_of,Skills Development Levy for 2022
Customer,inquires_about,outstanding Skills Development Levy for YA 2023
Customer,mentions,consistent payments
Customer,seeks_clarification_on,specific employees contributing to the outstanding amount
Customer,unaware_of,need to pay Skills Development Levy for Foreign Employee
Customer,unaware_of,need to pay Skills Development Levy for their Foreign Employee
Contribution,as_per,Notice of Assessment for outstanding levy
Customer,inquires_about,director contribution to Skills Development Levy
Entity,has,only one local employee with auto-computed levy
Customer,queries_reason_for,receiving Notice of Assessment for outstanding Skills Development Levy for 2022
Entity,received,Notice of Assessment for outstanding Skills Development Levy for 2022
Customer,made_inquiry_regarding,Workfare Income Supplement program
Skills Development Levy,for,resigned foreign employees
Customer,requested,breakdown of the Skills Development Levy
Customer,seeks_to_understand,outstanding payable amount
Customer,reports,duplicate certificates uploaded
Duplicate certificates,uploaded_to,SkillsPassport on the website
Customer,did_not_receive,call for a scheduled phone appointment
Scheduled phone appointment,scheduled_for,"morning of October 10, 2023"
Customer,requested_assistance_for,employee to download an E-Cert
Customer,successfully_verified,employee over the phone
Customer,inquiring_about,11 months underpaid
Customer,inquiring_about,1 month overpaid
Customer,received,letter about Skills Development Levy for 2022
Link,is_non-functional,for claim submission
Link,provided_by,Singapore Polytechnic
Customer,seeks_assistance_for,claim submission
Customer,is_currently,unemployed
Customer,left_job_within,a month
Customer,requests,new appointment for face-to-face career advisory
Inquiry,in_response_to,letter from SkillsFuture Singapore
Customer,inquires_about,payee for a cheque
Letter,regards,Skills Development Levy 2023
Customer,requested,an appointment for career coaching
Monthly payments,made_through,Central Provident Fund
Customer,received,outstanding Skills Development Levy letter
Customer,seeks,clarification
Huawei phone,blocks,Google Play Store
Candidate,cannot_use,E-Attendance
Candidate,requests,manual submission of attendance for the course
Customer,inquires_about_eligibility_for,Workfare Skills Support
Customer,seeks_information_on,courses to qualify for Training Allowance
Customer,seeks_information_on,courses to qualify for Training Commitment Award
Customer,inquires_about,available TDVL courses eligible for SkillsFuture Credit claims
Customer,inquires_about,available SkillsFuture Credit balance
Customer,inquires_about_eligibility_for,use in company-sponsored programs
Submit button,is_unresponsive_for,SkillsFuture Credits claim submission
Customer,needs_help_with,submitting a SkillsFuture Credits claim
Course,starts_on,Nov-18
Customer,has,general enquiry
Customer,intends_to_contact,SkillsFuture Singapore
Customer,action_taken,clearing cache and cookies
Customer,unable_to,submit feedback enquiry
Customer,unable_to_log_in_to,Training Partners Gateway due to persistent error
Customer,disputes,amount in Skills Development Levy mailer
Customer,has_submitted,Notice of Objection
Differences in funding,concerns,employer sending staff vs. staff self-enrolling
Employer,inquires_about,differences in funding for staff courses
Employer,inquires_about_purpose_of,Skills Development Levy
Customer,inquires_about,Skills Development Levy Notice of Assessment
Customer,mentions_payment_method,monthly payments made via Central Provident Fund EzPay
Corppass,confirms,access is in order
Customer,receives_error_message,to contact system administrator
Customer,unable_to_log_into,Training Provider Gateway
Customer,received,SMS for feedback survey
Feedback survey,related_to,recent course
Customer,requested_to_speak_to,an officer
Customer,unable_to_access,survey link
Customer,requests_assistance_in,updating the disbursement details
Funds from SkillsFuture Singapore,were_received,but not updated in the system
Employer,makes,regular payments
Employer,received,outstanding payment letter for Skills Development Levy
Employer,seeks_clarification_on,discrepancy
Customer,inquires_about,login issues
Customer,reports_inability_to,log into the Training Provider Gateway
Pending payment notification,for,Workfare Skills Support Training Allowance
Customer,inquired_about,pending payment notification
Customer,inquires_about_action_for,applicants lacking Japanese language skills
Applicants,lack,required Japanese language skills
Job,requires,Japanese language skills
Applicants,to_be_marked_as,unsuccessful
Customer,inquired_about,computation of the amount derived by SkillsFuture Singapore
Training provider,issued,cancellation paper
Customer,requests_cancellation_after,all trainees scanned attendance
Customer,unhappy_with,late course start and setup
Customer,experiences,a blank page
Blank page,occurs_when,attempting to switch to the employer portal
Employer portal,on,MyCareersFuture website
Customer,inquires_about,submitting a SkillsFuture Credit claim via mobile
Monthly payments,made_via,Central Provident Fund EZPay
Customer,queries,outstanding levy despite monthly payments
Training provider,advised,Customer to apply for the grant
Customer,inquired_about,Career Conversion Programmes and income supplements for courses
Customer,objects_to,Skills Development Levy letter for 2022 outstanding amount
Customer,states_payment_made_in,May-23
Job posting,appears_closed_but,listed as Under Evaluation
Job posting,appears_on,MyCareersFuture
Customer,inquires_about_proceeding_with,Career Trial
Error,causes,trainees unable to take attendance
Training grant eligibility,impacted_by,attendance taking error
Trainees,unable_to_take_attendance,via SingPass before assessment in Risk Management course
Result,is,payment failure
Customer,unable_to,submit payment
Customer,asks_how_to_handle,rounding down the payment or transferring the full amount
Customer,inquires_about,making a backpayment for Skills Development Levy
Assessment issues,include,incorrect fail status post-bulk upload
Assessment issues,include,one assessment not captured
Assessment issues,include,inaccurate attendance percentage recording
Customer,received,Full Qualification certificate with 8 modules
Customer,wants,single certificate including all 8 Statements of Attainment
Customer,completed,training
Customer,has_not_received,full qualification e-Certificate
Customer,received,only partial Statements of Attainment
Customer,requests_assistance_for,full certification from SkillsFuture Singapore
Employer,claims,all payments were correctly computed according to her payroll records
Employer,objects_to,outstanding Skills Development Levy payment notice
Customer,queries_computation_of,Outstanding Skills Development Levy Payable figures
Customer,receives_notice_from,SkillsFuture Singapore
Customer,has_no_employees_working_since,Nov-22
Customer,makes,monthly payments
Customer,questions,receipt of Skills Development Levy Notice of Assessment
Customer,seeks_guidance_on,payment via Paynow
Customer,seeks_guidance_on,future payments for Foreign Employees
Customer,seeks,assistance
Customer,unable_to_submit,SkillsFuture Credit claim using the provided link
Customer,queries_levy_obligations_for,staff without salaries or with cancelled passes
Customer,questions,outstanding Skills Development Levy despite regular payments
Customer,seeks_clarification_on,levy calculation
Details of the grant,are,unclear
Payout from Skillsfuture,not_reflected_in,Absentee Payroll portal
Her company,employs,no foreign workers
Payments,made_via,CPF EZPay
Mandarin customer,received_notice_for,payment of outstanding Skills Development Levy
Her company,uses,payroll agent for monthly payments
Customer,follows_up_on,previous case
Previous case,includes,failed Central Provident Fund verifications
Previous case,includes,pending participant verifications
Previous case,regards,incomplete course runs
Customer,inquires_reason_for,receiving Skills Development Levy Notice of Assessment
Company,received_Notice_of_Assessment_due_to,having 10 employment pass holders
Payment,characterized_by,diligent
Employer,claims_payment_for,both local and foreign staff
Payment,described_as,diligent
Customer,inquiring_about,status of Skills Development Levy refund case
Customer,received_no_response_after,submitting requested documents
Customer,receives,Notice of Assessment
Customer,unaware_of,mandatory Skills Development Levy for foreign workers
Customer,inquires_about,computation of the amount in the Skills Development Levy Notice of Assessment
Customer,inquires_how,levy is calculated
Linking action,as_instructed_in,the allowance letter
Customer,inquires_about,status of his Training Allowance
Customer,linked,PayNow to his NRIC
Course run,has,all attendances confirmed
Customer,reports,Traqom validation error in course run
Company,paid,excess Skills Development Levy
Company,received_no_response_from,previous contact
Company,received_notice_for,outstanding Skills Development Levy
Company,seeks,urgent clarity
Customer,inquired_about_eligibility_for,SkillsFuture Credits
Customer,inquired_about_eligibility_for,Workfare Skills Support scheme
Workfare Training Allowance,for_courses_completed_in,August
Customer,inquires_about,payment date for Workfare Training Allowance
Customer,notes,ad-hoc security work and varied payment methods
Customer,inquired_about,viewing their Skills Development Levy contribution history
Customer,follows_receipt_at,old address
Skills Development Levy Notices,received_at,old address
Customer,requests,Skills Development Levy Notices be sent to new company address
Customer,requests_expedited_appeal_for,the claim
Customer,submitted_claim,post-course start
Customer,unaware_of,eligibility to claim SkillsFuture Credit
Customer,awaiting,further instructions
Customer,inquired_about,reusing approved CT for another jobseeker
Customer,submitted_CPF_incorrectly_for,a jobseeker before Career Trial
Customer,withdrew_CPF_submission,on advice
Non-attendance,associated_with,trainee
Customer,inquired_about,penalty charges for non-attendance
Non-attendance,lacks,prior notification to the Training Provider
Letter,advises,link NRIC to PayNow
Customer,received_letter_about,Workfare Skills Support Training Allowance not credited
Retiree,intends_to,apply for jobs
Retiree,received,email about job postings on MyCareersFuture
Payment requirement,applies_to,the year 2023
Customer,inquires_reason_for,payment requirement for Skills Development Levy
Statement,indicates,underpayment and requires a top-up
Employer,queries_about,discrepancy in Skills Development Levy payment for 10 employees
Employer,requests_clarification_on,the mistake
FLIP TECHNOLOGY PTE.LTD,aims_to,ensure compliance and resolve issues
FLIP TECHNOLOGY PTE.LTD,requests,detailed breakdown of Skills Development Levy payments
FLIP TECHNOLOGY PTE.LTD,requests,outstanding amounts and associated documentation
Customer,inquires_about,MySkillsFuture PWM courses for L1 and L2
Customer,referred_by,MOM
Authorization,granted_to,Ms. <PERSON> to handle the issue
Request,to_offset,over-payment against outstanding amount for Skills Development Levy 2023
Customer,inquired_about,obligation to pay overtime for after-hours attendance
Customer,received,absentee payroll funding for a course
Breakdown,for,outstanding Skills Development Levy payment
Company,requests,detailed breakdown of employee names
Error,is,Unable to scan QR code
Participant,requests,manual attendance upload for the course on 11 Oct 2023
Participant,unable_to,scan QR code for e-attendance using Singpass
Customer,believes_entitled_to,additional $500 top-up
Customer,received,$500 SkillsFuture credit
Customer,seeks_clarification_on,why additional $500 top-up is not reflected
Customer,claims,no outstanding payments for 2022 based on company records
Customer,objects_to,Notice of Assessment for Skills Development Levy 2023
Customer,submitted,Notice of Objection
Trainees,cannot_submit,e-attendance for a course run session
QR code,is_unresponsive,after scanning
Four trainees,could_not_submit,e-attendance by scanning QR codes
Reason,due_to,lacking camera phones
Camera phones,required_by,their job's security protocols
Customer,inquires_about,Notice of Assessment for Skills Development Levy 2023
Customer,seeks_clarification_on,company's outstanding amount
Customer,inquires_about,enrolling in a Career Conversion Programme for Nursing
Customer,inquires_about,pending approval status of SkillsFuture Credits claim appeal
Calculations,based_on,company UEN
Payments,made_using,different CSN numbers
Skills Development Levy discrepancies,noted_due_to,payroll grouping by categories
Customer,requests_resolution_and,favorable response
Customer,has,$500 in additional mid-Career Support credits
Inquiry,concerns,letter received concerning Workfare Skills Support Training Allowance payment
Customer,inquired_on_behalf_of,his mother
Customer,requested,Career Advisory appointment
Career Advisory appointment,requested_through,CMS
Customer,inquires_about,time for credits to return to SkillsFuture Credits account after canceling a claim
Canceling a claim,takes_time,2 to 3 months
Training Commitment Award,has_pending_matching,pending
Training Commitment Award,has_processed_amount,$100 
Inquiry,includes,multiple courses and total award details
Customer,needs_clarification_for,pending $400 balance of Training Commitment Award
Customer,queries,underpayment despite prompt payments
Customer,seeks,refund for overpaid months
Appeal process,for,Skills Development Levy waivers for foreign workers
Customer,inquires_about,more efficient process for updating the Overall in charge
Overall in charge update,to_avoid,lengthy appeal process
Customer,insists_on_withholding,further payments until the refund is processed
Customer,plans_to_submit,refund form for overpayment
Customer,inquires_on,retrieving past payment history for Skills Development Levy
Website,is_unavailable_for,accessing past payment history
Customer,unable_to_access,information
Outstanding amounts,possibly_due_to,missed payments for an employee
Reconciliation issue,results_in,outstanding amounts
Customer,unable_to_reconcile,Skills Development Levy Payable and Paid
Customer,made_contributions_via,GIRO monthly
Customer,seeks_clarification_on,outstanding Skills Development Levy issue
Employer,received,Skills Development Levy outstanding payment notice
Employer,seeks_assistance_with,Notice of Objection form
Trainee,results_in,full course fee payment without funding
Customer,seeks,appeal for manual attendance recording
Trainee,unable_to,scan QR for attendance due to Singpass issues
Search for courses,on_platform,MySkillsFuture
Customer,requested_instructions_on,how to search for courses
Customer,inquires_about,alternative attendance methods for Training Provider Gateway
Staff,refuses_to_use,Singpass mobile app
Financial consultant,inquires_payment_status_for,Skills Development Levy (Jan-22 to Sep-22) for Maxential Pte. Ltd.
Inquiry,references,attached notice and payment screenshot
Customer,inquires_about,discrepancy between Skills Development Levy outstanding amount in Notice of Assessment and their records
Customer,seeks_clarification_on,calculation method
Employee,has_left,the company
Employer,inquires_liability_for,Skills Development Levy after employee departure
Salary,is_due,after employee has left
Customer,inquired_about,if overpayment can offset underpayment
Learner,completed_course_in,Nov-21
Customer,follows_up_on,grant status for a learner
Customer,inquiring_about,necessary documents for grant processing
Customer,inquires_about,downloading a food and hygiene certificate
Food and hygiene certificate,obtained_in,2019
Customer,seeks_to_apply_for,live-in nanny assistant position
Application,through,CMS - Employment Assistance
Customer,faces_issues_with,CPF E-Z pay for Employment pass holder since 2022
Customer,seeks,alternative payment options
Payment,lacks_indication_of,UEN in the reference box
Customer,made_payment_for,Skills Development Levy
Customer,seeks_assistance,post-payment
Customer,disputes,outstanding amount in Skills Development Levy letter for 2022
Outstanding amount,varies_from,Customer calculations
Customer,inquires_about,payee details for cheque payment
Customer,received,Notice of Assessment for an outstanding payment
Inquiry,concerns,disbursement status for Skillsconnect Grants
Skillsconnect Grants,involves,multiple course runs and employers
Skillsconnect Grants,related_to,SkillsFuture funding and grant processing
Customer Service Officer,contacted,a person
Customer Service Officer,inquires_about,purpose of her call to the hotline
Customer under work permit,inquired_about,course enrollment through MYSF
Customer,faces_issues_with,claim application process
Customer,faces_issues_with,cancellation steps
Customer,wishes_to_resubmit,SkillsFuture Credits claim due to revised information
Reason for re-enrolment,due_to,incorrect UEN enrollment
Customer,inquiring_about,re-enrolment of two trainees
Re-enrolment coordination,with,Institute of Banking and Finance
Employer,attempts_to_pay,Skills Development Levy via telegraphic transfer
Request,due_to,multiple locations
Employer,requests,exact mailing address for UOB Orchard branch
Payment receiver,received_payment_for,Absentee Payroll from SkillsFuture Singapore
